gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.851380825,0.87579006,1.589966655,-0.626417458,-0.284605652,0.20933716,-0.6855461,0.001956013,0.074988745,0.323951811,-0.274483204,-0.275637597,0.650239944,0.637288094,0.264241666,,-0.827877104,0.853231788,1.652240992,-0.603802025,-0.381646693,0.27853331,-0.642018974,0.028019611,0.055677831,0.415030599,-0.170940503,-0.233154401,0.698474824,0.65463841,0
-0.850789249,0.872843206,1.587738991,-0.626423538,-0.281681746,0.211501598,-0.68495965,0.000680362,0.073939174,0.323029131,-0.276518315,-0.27391696,0.647491992,0.638824403,0.268387884,,-0.827831209,0.853207886,1.651986003,-0.604182124,-0.381797612,0.278457999,-0.641604185,0.02816969,0.055494189,0.414184004,-0.169841096,-0.234230295,0.697867811,0.655187488,0
-0.850148976,0.870121896,1.585581779,-0.626366735,-0.279041976,0.213352397,-0.684368908,-0.000458246,0.07299941,0.322174072,-0.278294146,-0.272400826,0.644978881,0.640074492,0.272025675,,-0.826420307,0.851827025,1.648792028,-0.604682207,-0.386658102,0.271841913,-0.641059518,0.029410839,0.05306292,0.41147241,-0.165885106,-0.237780005,0.702251017,0.650220275,0
-0.849478245,0.867613137,1.583506107,-0.626259267,-0.276661724,0.214934587,-0.683781266,-0.001473603,0.072158039,0.321383059,-0.279842079,-0.271063983,0.642682493,0.641083539,0.275213838,,-0.826608777,0.851504624,1.648776054,-0.603464782,-0.388513386,0.274926186,-0.639768481,0.02953678,0.053085569,0.41183871,-0.163735002,-0.2349291,0.701981187,0.652090311,0.060194049
-0.848792076,0.865304887,1.581520677,-0.626111507,-0.274518013,0.216286764,-0.68320328,-0.00237833,0.071404986,0.320652544,-0.281189948,-0.269884557,0.640586138,0.641890228,0.278005332,,-0.825592697,0.85133332,1.648851037,-0.602907419,-0.390708089,0.276933491,-0.638089478,0.031029159,0.05305535,0.41203469,-0.161727399,-0.232870698,0.701920927,0.65339309,0.217866495
-0.84810257,0.86318475,1.579630971,-0.625932813,-0.272589773,0.217441842,-0.682639897,-0.003183808,0.070731305,0.319979101,-0.282362431,-0.268843442,0.638674855,0.642528117,0.280446827,,-0.825368583,0.85184288,1.649499059,-0.602448702,-0.392093092,0.279927194,-0.6363644,0.031481031,0.05372775,0.413267493,-0.159271106,-0.230110198,0.701841712,0.65505749,0.505004287
-0.84741956,0.861241162,1.577841997,-0.625731111,-0.270857424,0.218428165,-0.68209523,-0.003900424,0.070128977,0.319359571,-0.283381313,-0.267924309,0.636934042,0.643025458,0.282580227,,-0.825698316,0.854517877,1.650151014,-0.603813887,-0.393177092,0.283542097,-0.6327914,0.03135455,0.05663782,0.4138529,-0.156287,-0.228989005,0.699527204,0.65863508,0.619605303
-0.846751332,0.859462738,1.576155066,-0.625513017,-0.269302934,0.219269827,-0.681572258,-0.004537574,0.069590904,0.318790525,-0.284265935,-0.267112672,0.635350883,0.64340651,0.284442723,,-0.826135218,0.854571402,1.649464965,-0.604058921,-0.390672296,0.2856839,-0.633145511,0.03065276,0.057554241,0.413232714,-0.159651905,-0.227009103,0.697508276,0.660651386,0.752189279
-0.846103489,0.857838333,1.574571371,-0.625284612,-0.267909706,0.219987541,-0.681073368,-0.005103714,0.06911049,0.318269074,-0.285033077,-0.266395897,0.633912563,0.643691838,0.286067069,,-0.828028023,0.859781921,1.649083972,-0.6059466,-0.384454906,0.290365905,-0.633017719,0.02848023,0.063866198,0.412626714,-0.1633524,-0.225749493,0.692662716,0.665260613,0.814948082
-0.845481038,0.856357217,1.573090196,-0.625050545,-0.266662419,0.220599085,-0.680600286,-0.005606463,0.068681918,0.317792028,-0.285697669,-0.265762866,0.632607937,0.643898964,0.287482589,,-0.830968499,0.870579183,1.647550941,-0.609575212,-0.371073902,0.299749613,-0.633144975,0.02511102,0.078376167,0.410086215,-0.174812406,-0.221847594,0.680880487,0.675741076,0.829705119
