gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.876295686,0.883286119,1.536418796,-0.670793831,-0.161510423,0.126950562,-0.75126791,-0.028017228,0.072025001,0.240533516,-0.420321465,-0.334096402,0.606937528,0.643727124,0.041409191,,-0.910095513,0.940016091,1.574112058,-0.657555819,-0.2332917,0.276659489,-0.660798907,-0.065492511,0.146181598,0.316617012,-0.301989585,-0.27670899,0.600063503,0.687137723,0.831431627
-0.876902699,0.883921444,1.537480474,-0.671272635,-0.161562786,0.127012566,-0.751819789,-0.02805228,0.072040439,0.240668997,-0.420724601,-0.334345788,0.607347608,0.644192278,0.041225635,,-0.923654675,0.927437425,1.536677003,-0.670031071,-0.219819099,0.208211601,-0.677780271,-0.079233713,0.125365198,0.271639705,-0.335396707,-0.315060407,0.596455395,0.657637417,0.953664184
-0.877381146,0.884423435,1.538324237,-0.671652436,-0.16160433,0.127057076,-0.752262712,-0.028074164,0.072047278,0.240777999,-0.421048969,-0.334543407,0.607674897,0.644560277,0.040949918,,-0.914581597,0.911010504,1.514368057,-0.672449887,-0.210848898,0.160425693,-0.691098928,-0.074052572,0.1051239,0.245892406,-0.356696188,-0.333299905,0.596935272,0.63666898,1
-0.877756417,0.884818733,1.538993716,-0.671952307,-0.161638707,0.127089918,-0.752615988,-0.028085923,0.072048567,0.240866944,-0.421307057,-0.334698439,0.607936084,0.644851506,0.040625345,,-0.893370926,0.888790727,1.496546984,-0.666698813,-0.191062197,0.123222403,-0.709806085,-0.06196022,0.086535513,0.228595898,-0.384897888,-0.3356601,0.594235122,0.621345878,1
-0.87804985,0.885129571,1.539525032,-0.672188163,-0.161668375,0.127115473,-0.752896488,-0.028090406,0.072046749,0.240940884,-0.42151013,-0.334818989,0.608144939,0.645082235,0.040286843,,-0.880616307,0.860801518,1.491466999,-0.654488385,-0.175620407,0.105990902,-0.727714717,-0.056968808,0.0645625,0.226767704,-0.400659889,-0.333280712,0.599715173,0.607237399,1
-0.878279209,0.885374546,1.539948106,-0.672373414,-0.161694914,0.127136514,-0.753118694,-0.028089911,0.072043553,0.241003186,-0.421668261,-0.334912032,0.608312368,0.645265996,0.039960247,,-0.869801819,0.842985511,1.482038975,-0.648080111,-0.160887197,0.104438402,-0.737021208,-0.04762423,0.051215172,0.2216876,-0.410005808,-0.334612489,0.599891722,0.600049794,1
-0.878459096,0.885568261,1.540286303,-0.672519147,-0.161719069,0.127154991,-0.753294468,-0.028086469,0.072040163,0.241056442,-0.421790421,-0.334983587,0.608447373,0.645413101,0.039663076,,-0.855836272,0.836918712,1.479048014,-0.647367597,-0.153263301,0.116144702,-0.737520278,-0.027058721,0.05051649,0.223454505,-0.411297202,-0.333995104,0.594165325,0.605185628,1
-0.878601015,0.885722637,1.540558577,-0.672634244,-0.161741346,0.127172098,-0.753433585,-0.028081549,0.072037235,0.241102323,-0.421884209,-0.335038513,0.608556688,0.645532191,0.039405745,,-0.85175848,0.850998998,1.479799032,-0.655143917,-0.148118302,0.120733701,-0.730938613,-0.02878714,0.06899929,0.225982696,-0.417804211,-0.326151788,0.57923311,0.619317114,0
-0.878714025,0.885846794,1.540779471,-0.672725618,-0.16176191,0.127188221,-0.753544033,-0.028076187,0.072035275,0.241142109,-0.421955973,-0.335080862,0.608646035,0.645629346,0.039192751,,-0.852861822,0.856253982,1.481040001,-0.655938029,-0.148725405,0.119980298,-0.730226815,-0.02911156,0.070970356,0.2257227,-0.418355286,-0.326051414,0.580569327,0.617744684,0
-0.878804982,0.885947704,1.540960193,-0.67279911,-0.161780715,0.127203777,-0.753632188,-0.028071189,0.072034359,0.24117665,-0.422011048,-0.335113734,0.608719528,0.645709336,0.039024204,,-0.852865994,0.856253326,1.481016994,-0.65582782,-0.148715794,0.119948797,-0.730332971,-0.02911156,0.070970356,0.2257227,-0.418355703,-0.326051295,0.580569625,0.617744386,0
-0.878879249,0.886030793,1.541109681,-0.672858655,-0.161797792,0.127218544,-0.753703117,-0.028066952,0.072034426,0.241206571,-0.422053486,-0.335139483,0.608780444,0.645775974,0.038897179,,-0.852865815,0.856251776,1.48101294,-0.655826926,-0.148712799,0.119948603,-0.730334282,-0.02911156,0.070970356,0.2257227,-0.418355703,-0.326051295,0.580569625,0.617744386,0
-0.87894088,0.886099994,1.541234374,-0.672907531,-0.161812976,0.127232552,-0.753760755,-0.028063718,0.072035305,0.241232425,-0.422086686,-0.335160226,0.608831108,0.645831764,0.038806584,,-0.852864504,0.856252015,1.48101294,-0.655826807,-0.148712099,0.119949602,-0.730334401,-0.02911156,0.070970356,0.2257227,-0.418355703,-0.326051295,0.580569625,0.617744386,0
-0.878992558,0.886158109,1.541338921,-0.672948182,-0.161826327,0.12724556,-0.753808022,-0.028061485,0.072036833,0.241254494,-0.422112942,-0.335177034,0.608873606,0.64587903,0.038746577,,-0.852864385,0.856252015,1.48101294,-0.655826926,-0.148712099,0.119949602,-0.730334282,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879036427,0.886207402,1.541427016,-0.672982335,-0.161837876,0.127257422,-0.753847063,-0.028060181,0.072038725,0.241273314,-0.42213431,-0.335191071,0.608909309,0.645919144,0.038710877,,-0.852864385,0.856252074,1.48101294,-0.655826986,-0.148711801,0.119949497,-0.730334282,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879074037,0.886249363,1.54150188,-0.673011363,-0.161847696,0.127268046,-0.753879726,-0.028059715,0.072040945,0.241289169,-0.422151893,-0.335202962,0.608939469,0.645953298,0.038693622,,-0.852865219,0.856251776,1.48101294,-0.655825377,-0.148712099,0.119948499,-0.730335712,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879106224,0.886285245,1.54156518,-0.673036039,-0.161855862,0.127277359,-0.753907204,-0.02805992,0.072043203,0.241302326,-0.422166824,-0.335213155,0.608964801,0.645982146,0.038689449,,-0.852865279,0.856251776,1.48101294,-0.655825377,-0.148711905,0.119948402,-0.730335772,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879133999,0.886316001,1.541618705,-0.673057079,-0.161862567,0.127285331,-0.753930509,-0.02806055,0.072045356,0.241313174,-0.422179699,-0.335222095,0.608986259,0.646006763,0.038693935,,-0.852865219,0.856251776,1.48101294,-0.655825377,-0.148711801,0.119948298,-0.73033601,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879157841,0.886342168,1.541664124,-0.673075199,-0.161867976,0.127292082,-0.753950417,-0.028061504,0.072047338,0.241321966,-0.422190875,-0.335229844,0.60900408,0.646027505,0.038703408,,-0.852865279,0.856251776,1.48101294,-0.655825496,-0.148711801,0.119948298,-0.73033601,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879178226,0.886364281,1.541702271,-0.673090637,-0.161872208,0.12729767,-0.753967106,-0.028062606,0.072049096,0.241329119,-0.42220068,-0.335236698,0.609019041,0.64604491,0.038715083,,-0.852865279,0.856251895,1.48101294,-0.655825615,-0.148711607,0.119948298,-0.730335712,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
-0.879195631,0.886382997,1.541734099,-0.673103809,-0.161875531,0.1273022,-0.753981531,-0.028063765,0.072050571,0.241334826,-0.422209322,-0.335242599,0.609031379,0.646059453,0.038727015,,-0.852865279,0.856251895,1.48101294,-0.655825615,-0.148711607,0.119948298,-0.730335712,-0.02911162,0.070970297,0.225722596,-0.418355703,-0.326051205,0.580569625,0.617744327,0
